r	boost_fr	poly_fr
0.01	110.976		99.9982
0.02	55.4583		49.9964
0.03	36.9429		33.3279
0.04	27.679		24.9928
0.05	22.1163		19.991
0.06	18.4045		16.6558
0.07	15.7505		14.2731
0.08	13.7579		12.4856
0.09	12.2064		11.0949
0.1	10.9637		9.98197
0.11	9.94563		9.07108
0.12	9.09617		8.3117
0.13	8.37646		7.66888
0.14	7.75873		7.11763
0.15	7.22263		6.63964
0.16	6.75289		6.22118
0.17	6.33784		5.85173
0.18	5.96838		5.52314
0.19	5.63734		5.22895
0.2	5.33899		4.96399
0.21	5.06866		4.7241
0.22	4.82257		4.50586
0.23	4.59756		4.30644
0.24	4.39101		4.12349
0.25	4.20073		3.95504
0.26	4.02484		3.7994
0.27	3.86176		3.65517
0.28	3.71012		3.52111
0.29	3.56876		3.39617
0.3	3.43665		3.27944
0.31	3.31291		3.17014
0.32	3.19676		3.06755
0.33	3.08751		2.97108
0.34	2.98457		2.88017
0.35	2.88739		2.79437
0.36	2.79552		2.71323
0.37	2.70851		2.63638
0.38	2.62599		2.56349
0.39	2.54762		2.49424
0.4	2.4731		2.42838
0.41	2.40214		2.36564
0.42	2.33449		2.3058
0.43	2.26994		2.24867
0.44	2.20826		2.19406
0.45	2.14928		2.1418
0.46	2.09281		2.09174
0.47	2.03871		2.04373
0.48	1.98682		1.99766
0.49	1.93702		1.9534
0.5	1.88917		1.91084
0.51	1.84318		1.86988
0.52	1.79893		1.83043
0.53	1.75632		1.79241
0.54	1.71527		1.75574
0.55	1.6757		1.72034
0.56	1.63752		1.68614
0.57	1.60067		1.65309
0.58	1.56508		1.62112
0.59	1.53068		1.59017
0.6	1.49742		1.56021
0.61	1.46524		1.53117
0.62	1.4341		1.50302
0.63	1.40394		1.47571
0.64	1.37471		1.4492
0.65	1.34639		1.42346
0.66	1.31892		1.39845
0.67	1.29227		1.37414
0.68	1.26641		1.3505
0.69	1.2413		1.3275
0.7	1.2169		1.30511
0.71	1.1932		1.28331
0.72	1.17017		1.26206
0.73	1.14776		1.24136
0.74	1.12597		1.22118
0.75	1.10477		1.20149
0.76	1.08413		1.18229
0.77	1.06404		1.16354
0.78	1.04447		1.14523
0.79	1.0254		1.12735
0.8	1.00682		1.10988
0.81	0.988706		1.0928
0.82	0.971045		1.0761
0.83	0.95382		1.05977
0.84	0.937016		1.04379
0.85	0.920619		1.02816
0.86	0.904614		1.01285
0.87	0.88899		0.997867
0.88	0.873732		0.983188
0.89	0.858829		0.968808
0.9	0.84427		0.954715
0.91	0.830044		0.940901
0.92	0.816139		0.927357
0.93	0.802547		0.914075
0.94	0.789258		0.901046
0.95	0.776261		0.888262
0.96	0.763549		0.875716
0.97	0.751113		0.8634
0.98	0.738944		0.851309
0.99	0.727036		0.839435
1	0.715379		0.827772
1.01	0.703967		0.816314
1.02	0.692794		0.805055
1.03	0.681851		0.793989
1.04	0.671134		0.783111
1.05	0.660634		0.772417
1.06	0.650348		0.7619
1.07	0.640268		0.751556
1.08	0.630389		0.741381
1.09	0.620706		0.73137
1.1	0.611214		0.721519
1.11	0.601907		0.711823
1.12	0.592781		0.702279
1.13	0.583831		0.692883
1.14	0.575053		0.683631
1.15	0.566442		0.674519
1.16	0.557993		0.665545
1.17	0.549704		0.656704
1.18	0.54157		0.647994
1.19	0.533587		0.639412
1.2	0.525751		0.630954
1.21	0.518059		0.622617
1.22	0.510508		0.6144
1.23	0.503093		0.606298
1.24	0.495813		0.59831
1.25	0.488663		0.590433
1.26	0.481641		0.582665
1.27	0.474743		0.575002
1.28	0.467967		0.567444
1.29	0.461311		0.559987
1.3	0.45477		0.552629
1.31	0.448343		0.545369
1.32	0.442028		0.538204
1.33	0.435821		0.531133
1.34	0.42972		0.524153
1.35	0.423724		0.517263
1.36	0.417829		0.510461
1.37	0.412033		0.503745
1.38	0.406335		0.497113
1.39	0.400732		0.490564
1.4	0.395223		0.484096
1.41	0.389804		0.477709
1.42	0.384475		0.471399
1.43	0.379234		0.465166
1.44	0.374078		0.459009
1.45	0.369006		0.452925
1.46	0.364016		0.446915
1.47	0.359107		0.440975
1.48	0.354277		0.435106
1.49	0.349524		0.429306
1.5	0.344846		0.423573
1.51	0.340243		0.417907
1.52	0.335713		0.412306
1.53	0.331254		0.40677
1.54	0.326865		0.401297
1.55	0.322545		0.395887
1.56	0.318292		0.390537
1.57	0.314105		0.385248
1.58	0.309983		0.380019
1.59	0.305924		0.374848
1.6	0.301927		0.369734
1.61	0.297991		0.364677
1.62	0.294116		0.359675
1.63	0.290299		0.354729
1.64	0.28654		0.349837
1.65	0.282837		0.344998
1.66	0.279191		0.340212
1.67	0.275598		0.335477
1.68	0.27206		0.330794
